id,title,description,price,num_rooms,num_bedrooms,num_bathrooms,sq_m,address,city,year_built,property_type,features
79,Renovated Apartment in Chicago,"This 4-bedroom, 3-bathroom apartment in Chicago offers approximately 273 square meters of living space. It features hardwood floors, garage, deck, and is perfect for those seeking comfort and convenience. Located in a desirable area of Chicago, it combines style and practicality for modern living.",1428051.79,10,4,3,273,5470 Maple Blvd,Chicago,1974,apartment,"hardwood floors, garage, deck, pool access, community pool, rooftop terrace"
80,Modern House in San Francisco,"This 5-bedroom, 1-bathroom house in San Francisco offers approximately 203 square meters of living space. It features balcony, smart home system, deck, and is perfect for those seeking comfort and convenience. Located in a desirable area of San Francisco, it combines style and practicality for modern living.",155834.87,9,5,1,203,2645 Oak Ave,San Francisco,1968,house,"balcony, smart home system, deck"
81,Cozy House in Chicago,"This 2-bedroom, 3-bathroom house in Chicago offers approximately 269 square meters of living space. It features near park, EV charger, energy-efficient appliances, and is perfect for those seeking comfort and convenience. Located in a desirable area of Chicago, it combines style and practicality for modern living.",700437.53,7,2,3,269,6790 Maple Blvd,Chicago,1966,house,"near park, EV charger, energy-efficient appliances, deck"
82,Contemporary Apartment in Atlanta,"This 1-bedroom, 3-bathroom apartment in Atlanta offers approximately 294 square meters of living space. It features near park, home office, rooftop terrace, and is perfect for those seeking comfort and convenience. Located in a desirable area of Atlanta, it combines style and practicality for modern living.",202823.45,5,1,3,294,9847 Pine Rd,Atlanta,1990,apartment,"near park, home office, rooftop terrace, furnished, energy-efficient appliances"
83,Classic House in Philadelphia,"This 2-bedroom, 3-bathroom house in Philadelphia offers approximately 276 square meters of living space. It features balcony, community pool, solar panels, and is perfect for those seeking comfort and convenience. Located in a desirable area of Philadelphia, it combines style and practicality for modern living.",406794.75,8,2,3,276,910 Oak Ave,Philadelphia,1988,house,"balcony, community pool, solar panels, smart home system, air conditioning, near subway"
84,Modern Apartment in Minneapolis,"This 2-bedroom, 2-bathroom apartment in Minneapolis offers approximately 172 square meters of living space. It features pool access, energy-efficient appliances, deck, and is perfect for those seeking comfort and convenience. Located in a desirable area of Minneapolis, it combines style and practicality for modern living.",1216184.32,7,2,2,172,3433 Oak Ave,Minneapolis,1953,apartment,"pool access, energy-efficient appliances, deck, home office, smart home system"
85,Elegant Apartment in Portland,"This 4-bedroom, 3-bathroom apartment in Portland offers approximately 110 square meters of living space. It features hardwood floors, pool access, home office, and is perfect for those seeking comfort and convenience. Located in a desirable area of Portland, it combines style and practicality for modern living.",332659.9,8,4,3,110,5854 Maple Blvd,Portland,1955,apartment,"hardwood floors, pool access, home office, near subway, garden, deck"
86,Spacious House in Austin,"This 2-bedroom, 3-bathroom house in Austin offers approximately 263 square meters of living space. It features garden, solar panels, energy-efficient appliances, and is perfect for those seeking comfort and convenience. Located in a desirable area of Austin, it combines style and practicality for modern living.",1242612.37,7,2,3,263,5172 Oak Ave,Austin,1989,house,"garden, solar panels, energy-efficient appliances, near park, pet-friendly"
87,Stylish Townhouse in Madison,"This 1-bedroom, 1-bathroom townhouse in Madison offers approximately 100 square meters of living space. It features pet-friendly, rooftop terrace, solar panels, and is perfect for those seeking comfort and convenience. Located in a desirable area of Madison, it combines style and practicality for modern living.",331968.84,3,1,1,100,2202 Main St,Madison,1986,townhouse,"pet-friendly, rooftop terrace, solar panels, near park, EV charger"
88,Bright Apartment in Austin,"This 4-bedroom, 2-bathroom apartment in Austin offers approximately 322 square meters of living space. It features deck, gym, pool access, and is perfect for those seeking comfort and convenience. Located in a desirable area of Austin, it combines style and practicality for modern living.",1247324.89,9,4,2,322,3834 Oak Ave,Austin,1963,apartment,"deck, gym, pool access"
89,Spacious Townhouse in New York,"This 3-bedroom, 1-bathroom townhouse in New York offers approximately 67 square meters of living space. It features solar panels, gym, pool access, and is perfect for those seeking comfort and convenience. Located in a desirable area of New York, it combines style and practicality for modern living.",1360184.92,6,3,1,67,5096 Maple Blvd,New York,1958,townhouse,"solar panels, gym, pool access, furnished"
90,Renovated House in Dallas,"This 3-bedroom, 3-bathroom house in Dallas offers approximately 284 square meters of living space. It features furnished, deck, home office, and is perfect for those seeking comfort and convenience. Located in a desirable area of Dallas, it combines style and practicality for modern living.",1465278.94,8,3,3,284,5249 Main St,Dallas,1959,house,"furnished, deck, home office, smart home system, garage"
91,Luxury Apartment in Philadelphia,"This 3-bedroom, 1-bathroom apartment in Philadelphia offers approximately 198 square meters of living space. It features hardwood floors, garden, near park, and is perfect for those seeking comfort and convenience. Located in a desirable area of Philadelphia, it combines style and practicality for modern living.",979205.65,5,3,1,198,2210 Oak Ave,Philadelphia,1989,apartment,"hardwood floors, garden, near park"
92,Renovated Apartment in Denver,"This 3-bedroom, 2-bathroom apartment in Denver offers approximately 350 square meters of living space. It features garage, energy-efficient appliances, pet-friendly, and is perfect for those seeking comfort and convenience. Located in a desirable area of Denver, it combines style and practicality for modern living.",303325.94,8,3,2,350,5077 Main St,Denver,1976,apartment,"garage, energy-efficient appliances, pet-friendly, deck, rooftop terrace"
93,Spacious House in Chicago,"This 4-bedroom, 1-bathroom house in Chicago offers approximately 307 square meters of living space. It features balcony, near park, rooftop terrace, and is perfect for those seeking comfort and convenience. Located in a desirable area of Chicago, it combines style and practicality for modern living.",922596.53,8,4,1,307,4532 Main St,Chicago,1990,house,"balcony, near park, rooftop terrace, garden"
94,Spacious Townhouse in Los Angeles,"This 3-bedroom, 3-bathroom townhouse in Los Angeles offers approximately 107 square meters of living space. It features garage, community pool, balcony, and is perfect for those seeking comfort and convenience. Located in a desirable area of Los Angeles, it combines style and practicality for modern living.",579629.61,7,3,3,107,1298 Pine Rd,Los Angeles,2021,townhouse,"garage, community pool, balcony, furnished, fireplace, near park"
95,Cozy House in Philadelphia,"This 2-bedroom, 1-bathroom house in Philadelphia offers approximately 152 square meters of living space. It features pet-friendly, pool access, air conditioning, and is perfect for those seeking comfort and convenience. Located in a desirable area of Philadelphia, it combines style and practicality for modern living.",717775.22,5,2,1,152,2920 Main St,Philadelphia,2014,house,"pet-friendly, pool access, air conditioning, community pool, hardwood floors"
96,Stylish Townhouse in Portland,"This 1-bedroom, 3-bathroom townhouse in Portland offers approximately 327 square meters of living space. It features pet-friendly, balcony, hardwood floors, and is perfect for those seeking comfort and convenience. Located in a desirable area of Portland, it combines style and practicality for modern living.",1292142.41,6,1,3,327,4215 Pine Rd,Portland,2008,townhouse,"pet-friendly, balcony, hardwood floors, energy-efficient appliances, deck, garage"
97,Renovated Townhouse in Chicago,"This 5-bedroom, 1-bathroom townhouse in Chicago offers approximately 92 square meters of living space. It features hardwood floors, garage, air conditioning, and is perfect for those seeking comfort and convenience. Located in a desirable area of Chicago, it combines style and practicality for modern living.",383175.87,9,5,1,92,29 Oak Ave,Chicago,1989,townhouse,"hardwood floors, garage, air conditioning, energy-efficient appliances"
98,Stylish Apartment in Dallas,"This 3-bedroom, 2-bathroom apartment in Dallas offers approximately 44 square meters of living space. It features near subway, smart home system, rooftop terrace, and is perfect for those seeking comfort and convenience. Located in a desirable area of Dallas, it combines style and practicality for modern living.",762948.09,7,3,2,44,9213 Main St,Dallas,1950,apartment,"near subway, smart home system, rooftop terrace, furnished"
99,Elegant House in Denver,"This 2-bedroom, 3-bathroom house in Denver offers approximately 294 square meters of living space. It features near subway, balcony, home office, and is perfect for those seeking comfort and convenience. Located in a desirable area of Denver, it combines style and practicality for modern living.",1067312.25,7,2,3,294,2162 Oak Ave,Denver,1950,house,"near subway, balcony, home office"
100,Classic House in Nashville,"This 4-bedroom, 1-bathroom house in Nashville offers approximately 133 square meters of living space. It features furnished, balcony, smart home system, and is perfect for those seeking comfort and convenience. Located in a desirable area of Nashville, it combines style and practicality for modern living.",598865.22,7,4,1,133,3982 Cedar Ln,Nashville,1975,house,"furnished, balcony, smart home system, gym"
